gene_id;OxvsUn_log2FoldChange;OxvsUn_padj;LorvsUn_log2FoldChange;LorvsUn_padj;Cmpd8vsUn_log2FoldChange;Cmpd8vsUn_padj;Cmpd8_OxvsUn_log2FoldChange;Cmpd8_OxvsUn_padj;Lor_OxvsUn_log2FoldChange;Lor_OxvsUn_padj;OxvsCmpd8_log2FoldChange;OxvsCmpd8_padj;Cmpd8_OxvsOx_log2FoldChange;Cmpd8_OxvsOx_padj;Lor_OxvsOx_log2FoldChange;Lor_OxvsOx_padj;OxvsLor_log2FoldChange;OxvsLor_padj;Cmpd8vsLor_log2FoldChange;Cmpd8vsLor_padj;Cmpd8_OxvsLor_log2FoldChange;Cmpd8_OxvsLor_padj;Lor_OxvsLor_log2FoldChange;Lor_OxvsLor_padj;Cmpd8_OxvsCmpd8_log2FoldChange;Cmpd8_OxvsCmpd8_padj;Lor_OxvsCmpd8_log2FoldChange;Lor_OxvsCmpd8_padj;Lor_OxvsCmpd8_Ox_log2FoldChange;Lor_OxvsCmpd8_Ox_padj;gene_name;gene_chr;gene_start;gene_end;gene_strand;gene_length;gene_biotype;gene_description;tf_family
SA_RS00250;0.002925343;0.998919387;0.001568144;0.998245801;0.20156522;0.999892985;0.00024898;0.999381423;-0.107756297;0.830770532;-0.199528109;0.999998795;0.003666978;0.998335204;-0.111349789;0.876852012;0.000813916;0.998710365;0.200395575;0.778463683;-0.006625157;0.999777863;-0.122043082;0.886437475;-0.203521825;0.999670027;-0.312239823;0.491535078;-0.124937034;0.898701621;yycH;NC_002745.2;27467;28801;+;1335;protein_coding;two-component system activity regulator YycH && PF07435:YycH protein;-
Novel00007;0.31905826;1;-0.741554498;1;-0.484779687;0.999892985;-0.437277033;1;0.724402807;1;0.802037843;1;-0.747203579;0.928783903;0.396663555;1;1.057473325;1;0.257163768;1;0.293620643;0.999777863;1.443820421;1;0.044738119;1;1.210002549;1;1.146873803;1;Novel00007;NC_002745.2;27723;28681;-;959;-;PF07435:YycH protein;-
SA_RS00255;0.064733061;0.998919387;0.016591349;0.995311103;0.20550337;0.999892985;0.016889277;0.975481112;-0.147172864;0.741983633;-0.141244923;0.999998795;-0.04099081;0.996984375;-0.21270836;0.715728074;0.048065453;0.955679622;0.189467772;0.741587836;-0.005500632;0.999777863;-0.176350576;0.79489346;-0.190672744;0.999670027;-0.354769079;0.358554391;-0.181273482;0.782490641;yycI;NC_002745.2;28802;29590;+;789;protein_coding;two-component system regulatory protein YycI && PF09648:YycH protein;-
Novel00008;-1.675023523;1;0.519430088;1;-0.949366235;1;0.370437454;1;-0.643263619;1;;;2.048084862;1;;;-2.224605453;1;-1.478214118;1;-0.182113292;0.999777863;-1.21090923;1;1.300145579;1;0.277128541;1;-1.023513171;1;Novel00008;NC_002745.2;29174;29388;-;215;-;PF09648:YycH protein;-
Novel00009;-1.670300211;1;-1.771882534;1;-0.938001134;1;-1.866256732;1;0.051321615;1;;;;;1.708099324;1;;;;;;;1.794287727;1;;;0.966436616;1;1.891366385;1;Novel00009;NC_002745.2;29604;29936;-;333;-;-;-
SA_RS00260;-0.509150098;0.998919387;-0.272215082;0.558371098;-0.185582947;0.999892985;-0.342366419;0.267796731;-0.325462269;0.257431228;-0.32162273;0.999998795;0.17202994;0.98246411;0.182476135;0.819202852;-0.238030306;0.809220705;0.085689653;0.983469731;-0.076582754;0.999777863;-0.066262729;0.93725298;-0.158275174;0.999670027;-0.141130215;0.826973659;0.000567553;0.999552804;ABD29213.1;NC_002745.2;29979;30779;+;801;protein_coding;MBL fold metallo-hydrolase && PF00753:Metallo-beta-lactamase superfamily;Lactamase_B
SA_RS00265;-0.53860185;0.998919387;-0.607780376;0.51939103;-0.240660833;0.999892985;-0.902234473;0.112107682;-0.800617338;0.112782616;-0.298068768;0.999998795;-0.355241439;0.906916123;-0.26031175;0.776568073;0.06474631;0.973385852;0.364190192;0.921234596;-0.298864322;0.999777863;-0.205062668;0.907836502;-0.661504406;0.999670027;-0.564128792;0.493655662;0.082921907;0.965515511;adsA;NC_002745.2;31006;33324;+;2319;protein_coding;LPXTG-anchored adenosine synthase AdsA && PF00149:Calcineurin-like phosphoesterase|PF02872:5'-nucleotidase, C-terminal domain;Metallophos
SA_RS00270;0.742094246;0.556000382;-0.262852172;0.772175723;0.011531897;0.999892985;-0.141912988;0.903596633;0.24393717;0.737207852;0.726788033;0.650283007;-0.876545025;0.11468111;-0.502010909;0.461249711;1.005226433;0.046410452;0.276844119;0.92643781;0.115294575;0.999777863;0.494938088;0.613461519;-0.156242691;0.999670027;0.229047454;0.83246264;0.367825599;0.725601794;rlmH;NC_002745.2;33692;34171;+;480;protein_coding;23S rRNA (pseudouridine(1915)-N(3))-methyltransferase RlmH && PF02590:Predicted SPOUT methyltransferase;-
SA_RS00275;0.496615346;0.998919387;-0.192752257;0.780777924;0.240603709;0.999892985;0.125339213;0.885888051;-0.084481265;0.904211173;0.25410072;0.999998795;-0.365357912;0.851749724;-0.585753653;0.341003817;0.688877777;0.28681631;0.433848782;0.778758021;0.312974402;0.999777863;0.096267945;0.92817159;-0.116728728;0.999670027;-0.327075464;0.668931015;-0.227724077;0.808882384;unknown;NC_002745.2;34493;35749;+;1257;protein_coding;DUF3578 domain-containing protein && PF12102:Domain of unknown function (DUF3578)|PF13020:Domain of unknown function (DUF3883);-
SA_RS00280;-0.495867689;1;-0.288238069;1;0.244711357;0.999892985;-0.185265339;1;-2.979995614;1;-0.7422856;0.999998795;0.321148575;0.995565717;-2.496754539;1;-0.20435922;1;0.537463032;1;0.098681427;0.999777863;-2.707513087;1;-0.42839865;1;-3.223880361;1;-2.820618196;1;unknown;NC_002745.2;36164;36403;+;240;protein_coding;hypothetical protein && -;-
SA_RS00285;-0.86166089;0.998919387;-0.652084378;0.879672136;-0.668290203;0.999892985;-0.894765029;0.801619569;-0.791780826;0.709710452;-0.19103308;0.999998795;-0.026760629;0.998335204;0.059405405;0.991163805;-0.20638931;1;-0.013489181;1;-0.249555262;0.999777863;-0.157697161;1;-0.224590253;0.999670027;-0.114707603;0.97092856;0.085350389;0.986741719;unknown;NC_002745.2;36435;37109;-;675;protein_coding;IS6-like element IS257 family transposase && PF13610:DDE domain;-
SA_RS00295;-0.299046177;0.998919387;-0.720863219;0.969475015;-0.109721154;0.999892985;-0.62462043;0.958317714;-0.442793523;0.940964006;-0.189369523;0.999998795;-0.316926497;0.998335204;-0.153939458;0.991163805;0.425614767;0.973385852;0.614910956;0.995832088;0.092010785;0.999777863;0.267394525;0.984959785;-0.511761285;0.999670027;-0.326263563;0.960710044;0.161933155;0.986741719;unknown;NC_002745.2;37200;38183;-;984;protein_coding;protein rep && PF01446:Replication protein;-
SA_RS00300;-0.092922808;0.998919387;-0.058614325;0.998245801;0.021224429;0.999892985;0.122224717;0.994615745;0.030877143;0.996177503;-0.115311614;0.999998795;0.223011328;0.998335204;0.1131807;0.991687136;-0.0304253;0.998418015;0.084079872;0.996945767;0.175934815;0.999777863;0.076898318;0.994947804;0.1025619;0.999670027;0.01392726;0.997626822;-0.110694192;0.988819534;mobV;NC_002745.2;38428;39690;-;1263;protein_coding;MobV family relaxase && PF01076:Plasmid recombination enzyme;-
Novel00010;-0.713250518;1;1.1344491;1;-1.91113924;1;-0.918331327;1;-1.605036624;1;;;-0.192311393;1;;;-1.862463472;1;-3.047518005;1;-2.066518417;0.999777863;-2.781609794;1;;;;;;;Novel00010;NC_002745.2;38661;38846;+;186;-;-;-
Novel00011;1.048202378;1;;;;;0.888359514;1;;;2.106280129;1;-0.147886375;1;-1.840284657;1;1.985379498;1;;;1.817780857;0.999777863;;;1.947584173;1;;;-1.69611184;1;Novel00011;NC_002745.2;39130;39372;+;243;-;PF01076:Plasmid recombination enzyme;-
SA_RS00305;-0.158350908;0.998919387;0.146620504;0.998245801;0.051629023;0.999892985;-0.106157019;0.996104151;-0.416655184;0.937680528;-0.209545832;0.999998795;0.058934248;0.998335204;-0.268929288;0.977509393;-0.300012787;0.974887293;-0.090920761;0.996594581;-0.258196632;0.999777863;-0.577891731;0.952253822;-0.156342571;0.999670027;-0.463650569;0.939343472;-0.329319562;0.973018464;bleO;NC_002745.2;40197;40601;-;405;protein_coding;bleomycin binding protein && PF12681:Glyoxalase-like domain;-
Novel00012;-0.431103023;1;-0.505963082;1;-0.736072143;0.999892985;-0.092548904;1;0.706767222;1;0.299877527;1;0.355116611;0.995565717;1.124869945;1;0.074130461;1;-0.224965235;1;0.405668075;0.999777863;1.196937926;1;0.644500184;1;1.440305968;1;0.763545494;1;Novel00012;NC_002745.2;40236;41455;+;1220;-;PF07827:KNTase C-terminal domain|PF12681:Glyoxalase-like domain;-
SA_RS00310;-0.234136053;0.998919387;0.01082932;0.998245801;0.038726594;0.999892985;-0.063298613;0.99843631;0.048603671;0.993400032;-0.271981687;0.999998795;0.178340773;0.998335204;0.272510255;0.977370055;-0.240778847;0.981597628;0.031456073;0.999638153;-0.078555795;0.999777863;0.026389882;0.996520621;-0.098785344;0.999670027;0.017760407;0.997199325;0.093625099;0.988819534;aadD1;NC_002745.2;40818;41588;-;771;protein_coding;aminoglycoside O-nucleotidyltransferase ANT(4')-Ia && PF07827:KNTase C-terminal domain;-
SA_RS00315;-0.461100822;1;0.10835223;1;-0.203589935;0.999892985;-0.689748378;1;-1.061715237;1;-0.255843643;0.999998795;-0.223217061;0.996970712;-0.608950484;1;-0.568974241;1;-0.31093819;1;-0.809932836;0.999777863;-1.188395273;1;-0.486286711;1;-0.846340559;1;-0.369088163;1;unknown;NC_002745.2;41781;42455;-;675;protein_coding;IS6-like element IS257 family transposase && PF13610:DDE domain;-
Novel00013;;;2.079211502;1;;;;;;;;;;;;;-1.954223738;1;-2.171070207;1;-1.194768779;0.999777863;-1.901360186;1;;;;;;;Novel00013;NC_002745.2;41864;42392;+;529;-;PF13610:DDE domain;-
SA_RS14390;-0.226879998;1;0.147990287;1;-0.332932865;1;-0.21282057;1;0.335091451;1;0.103173542;1;0.0185705;1;0.577778348;1;-0.383554399;1;-0.486783696;1;-0.368231798;1;0.176831463;1;0.109185668;1;0.64784433;1;0.533987909;1;unknown;NC_002745.2;42539;42880;+;342;protein_coding;hydroxymethylglutaryl-CoA synthase && PF08540:Hydroxymethylglutaryl-coenzyme A synthase C terminal;-
SA_RS00325;0.067024559;0.998919387;0.644743508;0.685043151;0.537397796;0.999892985;0.876632156;0.609165429;1.072516951;0.237022529;-0.472384913;0.999998795;0.817664931;0.783981142;0.998439235;0.291257566;-0.575723725;0.725549041;-0.104703374;0.995832088;0.227402019;0.999777863;0.416511851;0.812268424;0.339730023;0.999670027;0.536177555;0.677890773;0.177165938;0.944335159;unknown;NC_002745.2;43717;44460;+;744;protein_coding;glycerophosphoryl diester phosphodiesterase && PF03009:Glycerophosphoryl diester phosphodiesterase family;-
SA_RS00330;-0.445329739;0.998919387;0.028761074;0.998245801;0.305914739;0.999892985;0.376635653;0.880303741;0.302587315;0.820769591;-0.750649401;0.986333943;0.83044863;0.758123453;0.742119024;0.481825369;-0.473367059;0.746682063;0.277796799;0.96498462;0.343376447;0.999777863;0.262670769;0.881810155;0.073472675;0.999670027;0.002232398;0.998053141;-0.091945451;0.973018464;unknown;NC_002745.2;44557;44985;+;429;protein_coding;MaoC family dehydratase && PF01575:MaoC like domain;-
SA_RS00335;1.304141336;1;0.087713632;1;0.017824227;1;0.656013322;1;0.85706955;1;1.286618806;1;-0.652068744;0.789460054;-0.44610981;0.419600994;1.210805732;1;-0.074491684;1;0.555822192;1;0.757706664;1;0.624968314;1;0.818856352;1;0.190788071;0.928075795;mecA;NC_002745.2;45031;47040;-;2010;protein_coding;PBP2a family beta-lactam-resistant peptidoglycan transpeptidase MecA && PF05223:NTF2-like N-terminal transpeptidase domain|PF03717:Penicillin-binding Protein dimerisation domain|PF00905:Penicillin binding protein transpeptidase domain;-
Novel00014;-0.154349112;0.998919387;-0.539026839;1;-0.280262082;0.999892985;0.132673631;0.946140948;-0.112820835;0.925785353;0.129853728;0.999998795;0.295315742;0.98246411;0.037741482;0.991163805;0.382846204;1;0.256056271;1;0.663309757;0.999777863;0.412389702;1;0.416657964;0.999670027;0.174534214;0.908416805;-0.265202624;0.904120435;Novel00014;NC_002745.2;45057;47041;+;1985;-;PF00905:Penicillin binding protein transpeptidase domain|PF03717:Penicillin-binding Protein dimerisation domain|PF05223:NTF2-like N-terminal transpeptidase domain;-
